Distribution of neutrino fluxes in the BP00 standard solar model model.

astro-ph/0010346

Columns in the Table below represent:

1) Radius of the zone in units of one solar radius
2) Temperature in units of 10^6 deg (K)
3) Logarithm (to the base 10) of the electron density in units of
   cm^{-3}/N_A, where N_A is the Avogadro number
4) Mass of the zone with the given radius in units of one solar mass
5) X(^7Be): beryllium-7 mass fraction
   [For special purposes, it is useful to know the 7^Be mass fraction.]
6) Fraction of pp neutrinos produced in the zone
7) Fraction of boron 8 neutrinos produced in the zone
8) Fraction of nitrogen 13 neutrinos produced in the zone
9) Fraction of oxygen 15 neutrinos produced in the zone
10) Fraction of florine 17 neutrinos produced in the zone
11) Fraction of beryllium 7 neutrinos produced in the zone
12) Fraction of pep neutrinos produced in the zone
13) Fraction of hep neutrinos produced in the zone

The integrated fluxes given in Table7 of BP00 are listed below:


 5.95E+00 1.400E-02 9.3E-07 4.77E-01 5.05E-04 5.48E-02 4.80E-02 5.63E-04

The Table begins here.
0.03059 15.377 1.989 1.372E-04 1.499E-11 8.605E-04 7.241E-03 5.695E-03 6.508E-03 6.808E-03 3.569E-03 1.301E-03 3.893E-04
0.03108 15.367 1.988 1.437E-04 1.492E-11 9.011E-04 7.482E-03 5.884E-03 6.724E-03 7.036E-03 3.714E-03 1.360E-03 4.089E-04
0.03157 15.357 1.987 1.505E-04 1.484E-11 9.436E-04 7.728E-03 6.077E-03 6.945E-03 7.267E-03 3.863E-03 1.422E-03 4.296E-04
0.03208 15.347 1.987 1.575E-04 1.475E-11 9.881E-04 7.977E-03 6.274E-03 7.170E-03 7.504E-03 4.018E-03 1.487E-03 4.513E-04
0.03259 15.336 1.986 1.650E-04 1.467E-11 1.035E-03 8.231E-03 6.475E-03 7.399E-03 7.744E-03 4.178E-03 1.555E-03 4.741E-04
0.03311 15.325 1.985 1.727E-04 1.458E-11 1.083E-03 8.488E-03 6.679E-03 7.631E-03 7.989E-03 4.342E-03 1.626E-03 4.981E-04
0.03364 15.313 1.984 1.809E-04 1.450E-11 1.134E-03 8.751E-03 6.887E-03 7.868E-03 8.237E-03 4.513E-03 1.699E-03 5.235E-04
0.03418 15.302 1.983 1.894E-04 1.440E-11 1.188E-03 9.013E-03 7.096E-03 8.108E-03 8.488E-03 4.688E-03 1.776E-03 5.499E-04
0.03473 15.289 1.983 1.983E-04 1.431E-11 1.244E-03 9.284E-03 7.307E-03 8.350E-03 8.743E-03 4.871E-03 1.857E-03 5.781E-04
0.03528 15.277 1.982 2.077E-04 1.422E-11 1.302E-03 9.555E-03 7.525E-03 8.597E-03 9.000E-03 5.058E-03 1.941E-03 6.076E-04
0.03585 15.264 1.981 2.175E-04 1.411E-11 1.363E-03 9.823E-03 7.742E-03 8.844E-03 9.260E-03 5.248E-03 2.028E-03 6.384E-04
0.03643 15.251 1.980 2.277E-04 1.401E-11 1.427E-03 1.010E-02 7.961E-03 9.094E-03 9.521E-03 5.448E-03 2.119E-03 6.712E-04
0.03701 15.237 1.979 2.384E-04 1.390E-11 1.494E-03 1.037E-02 8.179E-03 9.346E-03 9.784E-03 5.651E-03 2.214E-03 7.054E-04
0.03761 15.223 1.978 2.497E-04 1.379E-11 1.564E-03 1.064E-02 8.402E-03 9.601E-03 1.005E-02 5.857E-03 2.314E-03 7.412E-04
0.03821 15.208 1.977 2.615E-04 1.367E-11 1.637E-03 1.092E-02 8.627E-03 9.855E-03 1.031E-02 6.072E-03 2.417E-03 7.792E-04
0.03883 15.193 1.976 2.738E-04 1.357E-11 1.714E-03 1.119E-02 8.848E-03 1.011E-02 1.058E-02 6.295E-03 2.525E-03 8.195E-04
0.03946 15.178 1.975 2.867E-04 1.344E-11 1.793E-03 1.146E-02 9.070E-03 1.036E-02 1.084E-02 6.516E-03 2.637E-03 8.609E-04
0.04010 15.162 1.974 3.002E-04 1.332E-11 1.877E-03 1.173E-02 9.292E-03 1.062E-02 1.110E-02 6.751E-03 2.753E-03 9.057E-04
0.04075 15.146 1.973 3.143E-04 1.320E-11 1.964E-03 1.200E-02 9.514E-03 1.087E-02 1.136E-02 6.988E-03 2.875E-03 9.523E-04
0.04141 15.129 1.972 3.291E-04 1.306E-11 2.056E-03 1.225E-02 9.734E-03 1.112E-02 1.162E-02 7.227E-03 3.002E-03 1.001E-03
0.04209 15.111 1.971 3.447E-04 1.293E-11 2.151E-03 1.251E-02 9.953E-03 1.137E-02 1.188E-02 7.473E-03 3.133E-03 1.052E-03
0.04277 15.093 1.969 3.609E-04 1.279E-11 2.251E-03 1.277E-02 1.017E-02 1.161E-02 1.213E-02 7.727E-03 3.270E-03 1.107E-03
0.04347 15.075 1.968 3.779E-04 1.265E-11 2.355E-03 1.301E-02 1.037E-02 1.186E-02 1.237E-02 7.982E-03 3.413E-03 1.164E-03
0.04418 15.056 1.967 3.957E-04 1.251E-11 2.463E-03 1.324E-02 1.059E-02 1.209E-02 1.261E-02 8.244E-03 3.561E-03 1.224E-03
0.04490 15.036 1.965 4.144E-04 1.236E-11 2.577E-03 1.347E-02 1.079E-02 1.232E-02 1.284E-02 8.512E-03 3.715E-03 1.288E-03
0.04564 15.016 1.964 4.339E-04 1.221E-11 2.695E-03 1.369E-02 1.098E-02 1.255E-02 1.306E-02 8.778E-03 3.874E-03 1.354E-03
0.04639 14.995 1.963 4.544E-04 1.205E-11 2.819E-03 1.389E-02 1.117E-02 1.276E-02 1.328E-02 9.050E-03 4.040E-03 1.424E-03
0.04715 14.974 1.961 4.758E-04 1.190E-11 2.948E-03 1.408E-02 1.136E-02 1.297E-02 1.348E-02 9.327E-03 4.212E-03 1.498E-03
