# Distribution of neutrino fluxes in the B16(GS98) standard solar model model.
#
# arXiv:1611.09867
#
# Columns in the Table below represent:
#
# 1) Radius of the zone in units of one solar radius
# 2) Temperature in units of 10^6 deg (K)
# 3) Logarithm (to the base 10) of the electron density in units of
#   cm^{-3}/N_A, where N_A is the Avogadro number
# 4) Mass of the zone with the given radius in units of one solar mass
# 5) Fraction of pp neutrinos produced in the zone
# 6) Fraction of pep neutrinos produced in the zone
# 7) Fraction of hep neutrinos produced in the zone
# 8) Fraction of beryllium 7 neutrinos produced in the zone
# 9) Fraction of boron 8 neutrinos produced in the zone
# 10) Fraction of nitrogen 13 neutrinos produced in the zone
# 11) Fraction of oxygen 15 neutrinos produced in the zone
# 12) Fraction of florine 17 neutrinos produced in the zone
#
# FORMAT: (f6.4,tr1,f6.3,tr1,f5.3,tr2,9(e14.8,tr2))

0.0395 15.106 1.970  2.26876509e-04  2.85508958e+00  4.19273971e+00  1.37800056e+00  1.01724862e+01  1.78548949e+01  1.17474273e+01  1.59162109e+01  1.68358701e+01  
0.0400 15.094 1.969  2.32085309e-04  2.91894030e+00  4.27911894e+00  1.41370502e+00  1.03175784e+01  1.79499473e+01  1.18290140e+01  1.60267679e+01  1.69369869e+01  
0.0405 15.082 1.968  2.36764798e-04  2.97598183e+00  4.35514780e+00  1.44635739e+00  1.04348629e+01  1.79920745e+01  1.18764619e+01  1.60910714e+01  1.69887313e+01  
0.0410 15.070 1.967  2.42252077e-04  3.04301452e+00  4.44542539e+00  1.48411896e+00  1.05834168e+01  1.80832858e+01  1.19571109e+01  1.62003578e+01  1.70874609e+01  
0.0415 15.058 1.966  2.48537341e-04  3.11988521e+00  4.54963942e+00  1.52697329e+00  1.07618145e+01  1.82200683e+01  1.20687371e+01  1.63516177e+01  1.72298685e+01  
0.0420 15.046 1.965  2.51373305e-04  3.15326995e+00  4.59008096e+00  1.54879064e+00  1.07867961e+01  1.80940555e+01  1.20068207e+01  1.62677502e+01  1.71241471e+01  
0.0425 15.033 1.965  2.58332613e-04  3.23823890e+00  4.70526123e+00  1.59618157e+00  1.09846588e+01  1.82528986e+01  1.21346367e+01  1.64409461e+01  1.72884540e+01  
0.0430 15.020 1.964  2.63232243e-04  3.29715306e+00  4.78212842e+00  1.63104292e+00  1.10898147e+01  1.82534837e+01  1.21580889e+01  1.64727428e+01  1.73036392e+01  
0.0435 15.008 1.963  2.68931122e-04  3.36586852e+00  4.87281382e+00  1.67103233e+00  1.12241347e+01  1.82977704e+01  1.22113569e+01  1.65449384e+01  1.73607816e+01  
0.0440 14.995 1.962  2.74735503e-04  3.43568549e+00  4.96465456e+00  1.71185952e+00  1.13579179e+01  1.83368947e+01  1.22619446e+01  1.66135049e+01  1.74136421e+01  
0.0445 14.982 1.961  2.78198218e-04  3.47598791e+00  5.01346360e+00  1.73823254e+00  1.13908083e+01  1.82105145e+01  1.22023403e+01  1.65327741e+01  1.73097019e+01  
0.0450 14.969 1.960  2.85440852e-04  3.56331851e+00  5.12969225e+00  1.78839114e+00  1.15739613e+01  1.83195245e+01  1.23012027e+01  1.66667478e+01  1.74300105e+01  
0.0455 14.956 1.959  2.89905700e-04  3.61568136e+00  5.19512343e+00  1.82131954e+00  1.16394435e+01  1.82393535e+01  1.22736917e+01  1.66295032e+01  1.73709495e+01  
0.0460 14.942 1.958  2.97769526e-04  3.71019714e+00  5.32066319e+00  1.87579513e+00  1.18362782e+01  1.83601275e+01  1.23822476e+01  1.67766131e+01  1.75039344e+01  
0.0465 14.929 1.957  3.00394982e-04  3.73913539e+00  5.35173519e+00  1.89741927e+00  1.18203556e+01  1.81495612e+01  1.22675990e+01  1.66213068e+01  1.73212048e+01  
0.0470 14.916 1.956  3.07004666e-04  3.81748660e+00  5.45319108e+00  1.94435190e+00  1.19574184e+01  1.81699842e+01  1.23097266e+01  1.66784172e+01  1.73594011e+01  
0.0475 14.902 1.955  3.13852681e-04  3.89846426e+00  5.55788190e+00  1.99298474e+00  1.20981394e+01  1.81923429e+01  1.23538965e+01  1.67382968e+01  1.74000863e+01  
0.0480 14.888 1.954  3.16390448e-04  3.92562338e+00  5.58547026e+00  2.01436663e+00  1.20687749e+01  1.79582093e+01  1.22240947e+01  1.65624627e+01  1.71956548e+01  
0.0485 14.874 1.953  3.25476110e-04  4.03380647e+00  5.72791407e+00  2.07761613e+00  1.22844440e+01  1.80835567e+01  1.23398230e+01  1.67192993e+01  1.73360232e+01  
0.0490 14.860 1.952  3.27974936e-04  4.05995858e+00  5.75341116e+00  2.09895065e+00  1.22467131e+01  1.78358792e+01  1.22011952e+01  1.65315088e+01  1.71190856e+01  
0.0495 14.846 1.951  3.35703720e-04  4.15063397e+00  5.86996703e+00  2.15390529e+00  1.24001334e+01  1.78625240e+01  1.22509265e+01  1.65989289e+01  1.71659673e+01  
0.0500 14.832 1.950  3.40493483e-04  4.20457137e+00  5.93407748e+00  2.19014986e+00  1.24399260e+01  1.77243295e+01  1.21879422e+01  1.65136296e+01  1.70548191e+01  
0.0505 14.818 1.949  3.47034627e-04  4.27983163e+00  6.02785240e+00  2.23780211e+00  1.25391629e+01  1.76682281e+01  1.21819431e+01  1.65055435e+01  1.70231427e+01  
0.0510 14.804 1.948  3.51160357e-04  4.32495820e+00  6.07877138e+00  2.26999495e+00  1.25468907e+01  1.74825424e+01  1.20867873e+01  1.63766581e+01  1.68668389e+01  
0.0515 14.789 1.947  3.58140358e-04  4.40494232e+00  6.17826332e+00  2.32077943e+00  1.26521876e+01  1.74300572e+01  1.20842133e+01  1.63732143e+01  1.68394215e+01  
0.0520 14.775 1.946  3.65707994e-04  4.49170312e+00  6.28670572e+00  2.37553336e+00  1.27725389e+01  1.73962597e+01  1.20950573e+01  1.63879529e+01  1.68305206e+01  
0.0525 14.760 1.945  3.68326437e-04  4.51728808e+00  6.30912689e+00  2.39822648e+00  1.27161685e+01  1.71228240e+01  1.19390897e+01  1.61766754e+01  1.65896688e+01  
0.0530 14.746 1.944  3.77547694e-04  4.62356232e+00  6.44380418e+00  2.46406710e+00  1.28831006e+01  1.71460490e+01  1.19906799e+01  1.62466265e+01  1.66367523e+01  
0.0535 14.731 1.943  3.78827506e-04  4.63211172e+00  6.44187230e+00  2.47814104e+00  1.27752127e+01  1.68062245e+01  1.17879142e+01  1.59719414e+01  1.63313356e+01  
0.0540 14.716 1.942  3.87981825e-04  4.73670908e+00  6.57312986e+00  2.54386884e+00  1.29287720e+01  1.68060645e+01  1.18241747e+01  1.60211243e+01  1.63565589e+01  
0.0545 14.701 1.941  3.93850845e-04  4.80061241e+00  6.64734728e+00  2.58816799e+00  1.29673477e+01  1.66571706e+01  1.17557713e+01  1.59284958e+01  1.62372040e+01  
0.0550 14.686 1.940  3.97943659e-04  4.84248814e+00  6.69068894e+00  2.62086927e+00  1.29438551e+01  1.64290146e+01  1.16313122e+01  1.57599146e+01  1.60405353e+01  
0.0555 14.671 1.939  4.03988000e-04  4.90777894e+00  6.76600260e+00  2.66651973e+00  1.29800797e+01  1.62754925e+01  1.15598872e+01  1.56631927e+01  1.59168964e+01  
0.0560 14.656 1.938  4.11108340e-04  4.98568466e+00  6.85821908e+00  2.71937448e+00  1.30461167e+01  1.61586907e+01  1.15147477e+01  1.56020900e+01  1.58294647e+01  
0.0565 14.640 1.937  4.17530973e-04  5.05461053e+00  6.93758044e+00  2.76770936e+00  1.30852652e+01  1.60089662e+01  1.14460484e+01  1.55090657e+01  1.57097862e+01  
0.0570 14.625 1.936  4.20820870e-04  5.08517208e+00  6.96392795e+00  2.79532297e+00  1.30229984e+01  1.57368463e+01  1.12894401e+01  1.52969273e+01  1.54697419e+01  
0.0575 14.609 1.934  4.29408188e-04  5.17936377e+00  7.07697458e+00  2.85823982e+00  1.31203138e+01  1.56552801e+01  1.12699436e+01  1.52705734e+01  1.54173250e+01  
0.0580 14.594 1.933  4.34767688e-04  5.23403261e+00  7.13551083e+00  2.89971902e+00  1.31144119e+01  1.54527236e+01  1.11629163e+01  1.51256178e+01  1.52455833e+01  
0.0585 14.578 1.932  4.40526783e-04  5.29306616e+00  7.19959420e+00  2.94392662e+00  1.31168539e+01  1.52603961e+01  1.10631423e+01  1.49904925e+01  1.50838808e+01  
0.0590 14.562 1.931  4.46283579e-04  5.35159484e+00  7.26257508e+00  2.98817592e+00  1.31154533e+01  1.50643429e+01  1.09604410e+01  1.48514021e+01  1.49183707e+01  
0.0595 14.547 1.930  4.52964479e-04  5.42069689e+00  7.33945583e+00  3.03867644e+00  1.31371223e+01  1.48952742e+01  1.08771850e+01  1.47386606e+01  1.47794771e+01  
